Order ID,Customer ID,Order Date,Shipped Date,Shipping Fee,Payment Type
30,27,2006-01-15,2006-01-22,200.00,Check
31,4,2006-01-20,2006-01-22,5.00,Credit Card
32,12,2006-01-22,2006-01-22,5.00,Credit Card
33,8,2006-01-30,2006-01-31,50.00,Credit Card
34,4,2006-02-06,2006-02-07,4.00,Check
35,29,2006-02-10,2006-02-12,7.00,Check
36,3,2006-02-23,2006-02-25,7.00,Cash
37,6,2006-03-06,2006-03-09,12.00,Credit Card
38,28,2006-03-10,2006-03-11,10.00,Check
39,8,2006-03-22,2006-03-24,5.00,Check
40,10,2006-03-24,2006-03-24,9.00,Credit Card
41,7,2006-03-24,,0.00,
42,10,2006-03-24,2006-04-07,0.00,
43,11,2006-03-24,,0.00,
44,1,2006-03-24,,0.00,
45,28,2006-04-07,2006-04-07,40.00,Credit Card
46,9,2006-04-05,2006-04-05,100.00,Check
47,6,2006-04-08,2006-04-08,300.00,Credit Card
48,8,2006-04-05,2006-04-05,50.00,Check
50,25,2006-04-05,2006-04-05,5.00,Cash
51,26,2006-04-05,2006-04-05,60.00,Credit Card
55,29,2006-04-05,2006-04-05,200.00,Check
56,6,2006-04-03,2006-04-03,0.00,Check
57,27,2006-04-22,2006-04-22,200.00,Check
58,4,2006-04-22,2006-04-22,5.00,Credit Card
59,12,2006-04-22,2006-04-22,5.00,Credit Card
60,8,2006-04-30,2006-04-30,50.00,Credit Card
61,4,2006-04-07,2006-04-07,4.00,Check
62,29,2006-04-12,2006-04-12,7.00,Check
63,3,2006-04-25,2006-04-25,7.00,Cash
64,6,2006-05-09,2006-05-09,12.00,Credit Card
65,28,2006-05-11,2006-05-11,10.00,Check
66,8,2006-05-24,2006-05-24,5.00,Check
67,10,2006-05-24,2006-05-24,9.00,Credit Card
68,7,2006-05-24,,0.00,
69,10,2006-05-24,,0.00,
70,11,2006-05-24,,0.00,
71,1,2006-05-24,,0.00,
72,28,2006-06-07,2006-06-07,40.00,Credit Card
73,9,2006-06-05,2006-06-05,100.00,Check
74,6,2006-06-08,2006-06-08,300.00,Credit Card
75,8,2006-06-05,2006-06-05,50.00,Check
76,25,2006-06-05,2006-06-05,5.00,Cash
77,26,2006-06-05,2006-06-05,60.00,Credit Card
78,29,2006-06-05,2006-06-05,200.00,Check
79,6,2006-06-23,2006-06-23,0.00,Check
80,4,2006-04-25,,0.00,
81,3,2006-04-25,,0.00,
